,movie_id,movie_rating_avg,movie_rating_no,movie_title,movie_year,user_rating,user_rated_date,user_name,user_page
7095,10998,6.1,64179.0,Powiedz tak,2001,7,2015-12-23,AoiYuno,11
7096,33516,6.5,24086.0,Nawrót depresji gangstera,2002,6,2015-12-23,AoiYuno,11
7097,565637,7.7,309833.0,Dziewczyna z tatuażem,2011,6,2015-12-22,AoiYuno,11
7098,104248,3.4,9943.0,Alone in the Dark: Wyspa cienia,2005,3,2014-04-09,Azater,10
7099,104010,6.2,181252.0,Osada,2004,5,2014-03-22,Azater,10
7100,375872,6.6,58127.0,Ostatni dom po lewej,2009,3,2014-03-18,Azater,10
7101,375547,6.6,228998.0,Mamma Mia!,2008,7,2013-08-10,natalkaa75,9
7102,491118,7.4,290043.0,Piraci z Karaibów: Na nieznanych wodach,2011,9,2013-08-10,natalkaa75,9
7103,34282,7.7,388936.0,Harry Potter i więzień Azkabanu,2004,9,2013-08-10,natalkaa75,9
7104,283711,5.3,66760.0,High School Musical,2006,6,2020-04-14,Filmography,8
7105,275067,6.3,35605.0,Podróż do wnętrza Ziemi,2008,6,2020-04-14,Filmography,8
7106,264735,6.4,141265.0,Noc w muzeum,2006,6,2020-04-14,Filmography,8
7107,818371,6.2,270.0,Dirty God,2019,5,2019-07-30,Fifilifion10,5
7108,793149,7.3,4863.0,Najlepsze lata,2018,7,2019-07-30,Fifilifion10,5
7109,697291,6.6,7276.0,Zjazd absolwentów,2013,6,2019-07-29,Fifilifion10,5
7110,272177,6.7,196449.0,Juno,2007,7,2019-01-29,s_pagowski,8
7111,200116,7.3,111633.0,Most do Terabithii,2007,7,2019-01-29,s_pagowski,8
7112,236351,8.0,488672.0,Mroczny Rycerz,2008,8,2019-01-29,s_pagowski,8
7113,683180,7.3,156393.0,Furia,2014,7,2017-02-05,rafal09,9
7114,577622,7.4,163684.0,Na skraju jutra,2014,8,2017-02-05,rafal09,9
7115,31508,7.5,199311.0,Potwory i spółka,2001,7,2017-02-05,rafal09,9
7116,680709,7.2,170805.0,Birdman,2014,6,2015-12-05,piotrek_cyran,9
7117,113329,7.1,243012.0,Vinci,2004,9,2015-11-28,piotrek_cyran,9
7118,470384,7.4,168098.0,Dom zły,2009,8,2015-11-28,piotrek_cyran,9
7119,772700,8.1,88852.0,Najlepszy,2017,8,2017-12-28,dano999,4
7120,1019,8.5,379474.0,Lot nad kukułczym gniazdem,1975,8,2017-12-26,dano999,4
7121,837,8.3,584284.0,Podziemny krąg,1999,7,2017-12-10,dano999,4
7122,818009,4.5,155.0,"Byłam w domu, ale...",2019,0,2019-08-17,Reckless17,2
7123,817413,5.7,15236.0,Truposze nie umierają,2019,3,2019-08-16,Reckless17,2
7124,31865,7.8,25338.0,Akira,1988,0,2019-08-12,Reckless17,2
7125,563042,5.8,49192.0,Hercules,2014,5,2015-04-03,Xerej,11
7126,337035,6.8,25386.0,Plan gry,2007,8,2015-04-01,Xerej,11
7127,5483,6.7,14095.0,Mroczna dzielnica,2001,7,2015-03-29,Xerej,11
7128,686651,5.7,48849.0,Wywiad ze słońcem narodu,2014,8,2017-02-21,DOMINIKA12345_filmweb,2
7129,718819,7.3,170422.0,La La Land,2016,8,2017-02-21,DOMINIKA12345_filmweb,2
7130,496156,6.3,47702.0,Plan B,2010,6,2017-01-31,DOMINIKA12345_filmweb,2
7131,476580,8.2,409414.0,Gran Torino,2008,8,2013-03-03,MartynaRajca,11
7132,6916,6.6,97858.0,Książę w Nowym Jorku,1988,7,2013-03-03,MartynaRajca,11
7133,122242,7.6,61187.0,Motyl i skafander,2007,8,2013-02-26,MartynaRajca,11
7134,671051,7.3,225679.0,Gwiezdne wojny: Przebudzenie Mocy,2015,9,2015-12-21,AoiYuno,11
7135,688941,6.4,7616.0,Hiszpański temperament,2014,7,2015-12-20,AoiYuno,11
7136,174185,7.1,6032.0,Shinobi,2005,7,2014-03-18,Azater,10
7137,556399,5.4,26749.0,Essential Killing,2010,3,2014-03-18,Azater,10
7138,396969,7.5,300525.0,Harry Potter i Insygnia Śmierci: Część I,2010,9,2013-08-10,natalkaa75,9
7139,476021,7.7,328102.0,Harry Potter i Insygnia Śmierci: Część II,2011,9,2013-08-10,natalkaa75,9
7140,1047,8.2,653714.0,Milczenie owiec,1991,7,2013-08-10,natalkaa75,9
7141,261650,6.4,111108.0,Incredible Hulk,2008,6,2020-04-14,Filmography,8
7142,238851,7.0,116856.0,Skarb narodów: Księga tajemnic,2007,6,2020-04-14,Filmography,8
7143,803491,6.9,5613.0,Van Gogh. U bram wieczności,2018,7,2019-07-23,Fifilifion10,5
7144,828869,8.0,1991.0,Maiden,2018,8,2019-07-19,Fifilifion10,5
7145,6527,7.9,9288.0,Jak być kochaną,1962,8,2019-07-14,Fifilifion10,5
7146,542284,3.5,48261.0,Ludzka stonoga,2009,3,2019-01-29,s_pagowski,8
7147,616141,6.3,79789.0,Zakochani w Rzymie,2012,8,2019-01-29,s_pagowski,8
7148,639024,4.8,73109.0,Spring Breakers,2012,4,2019-01-29,s_pagowski,8
7149,644473,7.7,68103.0,Sugar Man,2012,6,2017-02-05,rafal09,9
7150,630714,7.6,158218.0,Sędzia,2014,7,2017-02-05,rafal09,9
7151,735683,7.7,109952.0,Ostatnia rodzina,2016,9,2017-02-05,rafal09,9
7152,564694,7.8,129900.0,Róża,2011,7,2015-11-28,piotrek_cyran,9
7153,124098,7.6,207592.0,Wesele,2004,9,2015-11-28,piotrek_cyran,9
7154,631979,7.1,194258.0,Drogówka,2013,9,2015-11-28,piotrek_cyran,9
7155,747433,7.2,214961.0,Pitbull. Nowe porządki,2016,8,2017-10-14,dano999,4
7156,31413,7.8,594207.0,Dzień świra,2002,7,2017-10-07,dano999,4
7157,786410,4.5,102814.0,Botoks,2017,4,2017-10-01,dano999,4
7158,130186,6.3,423.0,Torso,1973,0,2019-08-11,Reckless17,2
7159,9772,6.1,2706.0,Pozostać żywym,1983,0,2019-08-11,Reckless17,2
7160,747945,6.5,15.0,Queerowy Izrael,2015,7,2019-08-10,Reckless17,2
7161,394398,7.8,139855.0,Wielki Mike. The Blind Side,2009,9,2015-03-25,Xerej,11
7162,34928,5.3,62272.0,Kobieta-Kot,2004,6,2015-03-25,Xerej,11
7163,520860,6.4,85513.0,Hansel i Gretel: Łowcy czarownic,2013,8,2015-03-15,Xerej,11
7164,394356,6.4,47612.0,Tak to się teraz robi,2010,8,2017-01-31,DOMINIKA12345_filmweb,2
7165,98357,6.1,62009.0,"Dziś 13, jutro 30",2004,5,2017-01-31,DOMINIKA12345_filmweb,2
7166,32430,5.6,25723.0,Pocahontas II - Podróż do Nowego Świata,1998,3,2017-01-17,DOMINIKA12345_filmweb,2
7167,196107,6.0,21449.0,W drodze,2012,6,2013-02-26,MartynaRajca,11
7168,506756,7.7,290058.0,Mroczny Rycerz powstaje,2012,8,2013-02-26,MartynaRajca,11
7169,31889,5.5,36879.0,Szkoła stewardes,2003,5,2013-02-26,MartynaRajca,11
7170,495313,6.5,121692.0,Uczeń czarnoksiężnika,2010,3,2015-12-19,AoiYuno,11
7171,32247,7.6,1844.0,Stracone lata,1988,8,2015-12-05,AoiYuno,11
7172,565637,7.7,309833.0,Dziewczyna z tatuażem,2011,7,2013-08-06,natalkaa75,9
7173,1319,7.7,168143.0,Imię róży,1986,7,2013-08-06,natalkaa75,9
7174,221722,6.9,183436.0,Next,2007,6,2020-04-14,Filmography,8
7175,208687,6.8,260406.0,1408,2007,6,2020-04-14,Filmography,8
