,movie_title,movie_year,movie_rating_avg,movie_rating_no,user_rated_date,user_rating,movie_id,user
94,Tancerz,2016,"7,9",1 806,16 października 2016,8,773025,greyshh
95,Nasza Love Story,2016,"6,2",117,16 października 2016,7,772703,greyshh
96,Nazywam się Cukinia,2016,"7,6",7 006,16 października 2016,9,664117,greyshh
97,Anishoara,2016,"6,1",29,15 października 2016,4,772666,greyshh
98,Nie gap się w mój talerz,2016,"6,2",140,15 października 2016,6,772706,greyshh
99,Koniec,2016,"5,8",58,14 października 2016,4,766443,greyshh
100,"Słońce, to słońce mnie oślepiło",2016,"4,9",770,8 października 2016,3,771665,greyshh
101,Siedmiu wspaniałych,2016,"6,9",60 229,22 września 2016,5,662836,greyshh
102,Pitbull. Nowe porządki,2016,"7,2",214 556,20 września 2016,7,747433,greyshh
103,PitBull,2005,"7,2",91 983,19 września 2016,8,140459,greyshh
104,Nice Guys. Równi goście,2016,"6,7",97 445,15 września 2016,7,720886,greyshh
105,Mulholland Drive,2001,"7,6",82 541,11 września 2016,,30630,greyshh
106,Wielki błękit,1988,"7,5",94 543,31 sierpnia 2016,8,11673,greyshh
107,Niezłomny,2014,"7,2",63 248,28 sierpnia 2016,6,693142,greyshh
108,Droga do szczęścia,2008,"7,2",118 439,10 sierpnia 2016,7,419862,greyshh
109,Wysoka fala,2012,"7,3",16 532,10 sierpnia 2016,8,636044,greyshh
110,Weiser,2000,"6,7",6 484,1 sierpnia 2016,7,1491,greyshh
111,Kamper,2016,"6,1",17 307,23 lipca 2016,7,760376,greyshh
112,Miłość i inne używki,2010,"6,8",119 365,16 lipca 2016,7,531962,greyshh
113,Harry Potter i Insygnia Śmierci: Część II,2011,"7,7",327 260,16 lipca 2016,8,476021,greyshh
114,Konwój,1978,"7,2",10 516,14 lipca 2016,7,34019,greyshh
115,Teoria wszystkiego,2014,"7,6",198 973,12 lipca 2016,8,691862,greyshh
116,Kochaj,2016,"3,3",15 168,6 lipca 2016,2,749727,greyshh
117,Inna kobieta,2014,"6,6",73 645,5 lipca 2016,5,687690,greyshh
118,Bilet na Księżyc,2013,"6,6",23 207,5 lipca 2016,7,662224,greyshh
119,Sugar Man,2012,"7,7",68 018,4 lipca 2016,9,644473,greyshh
120,Pod opieką wiecznego słońca,2015,"7,3",3 557,3 lipca 2016,5,761767,greyshh
121,Praktykant,2015,"7,2",178 196,26 czerwca 2016,7,704026,greyshh
122,Footloose,2011,"6,6",26 240,25 czerwca 2016,5,489634,greyshh
123,Panie Dulskie,2015,"5,9",11 459,25 czerwca 2016,7,732758,greyshh
124,Jarocin. Po co wolność,2016,"7,3",1 705,13 czerwca 2016,7,761776,greyshh
125,Nagi instynkt,1992,"7,2",114 699,10 czerwca 2016,8,1063,greyshh
126,Deadpool,2016,"7,6",322 280,4 czerwca 2016,7,514675,greyshh
127,Szukając Kelly,2015,"6,2",1 382,2 czerwca 2016,9,739094,greyshh
128,Nienawistna ósemka,2015,"7,6",198 749,1 czerwca 2016,8,714192,greyshh
129,Zwierzogród,2016,"7,9",237 766,28 maja 2016,8,703836,greyshh
130,"Jedz, módl się, kochaj",2010,"6,2",72 371,24 maja 2016,8,382375,greyshh
131,"Bieda, spółka akcyjna",2014,"7,3",224,17 maja 2016,6,714319,greyshh
132,Człowiek,2015,"8,2",6 339,17 maja 2016,,761773,greyshh
133,Facebookistan,2015,"5,4",355,15 maja 2016,7,761775,greyshh
134,Lo i stało się. Zaduma nad światem w sieci,2016,"6,9",4 771,15 maja 2016,7,761419,greyshh
135,Requiem dla amerykańskiego snu,2015,"7,6",685,15 maja 2016,9,741071,greyshh
136,Mała Moskwa,2008,"7,1",31 715,1 maja 2016,7,370628,greyshh
137,Jak wytresować smoka,2010,"7,9",285 161,27 kwietnia 2016,8,331014,greyshh
138,"Love, Rosie",2014,"7,4",160 274,27 kwietnia 2016,7,666170,greyshh
139,Mustang,2015,"7,6",33 790,11 kwietnia 2016,9,742573,greyshh
140,Kingsman: Tajne służby,2014,"7,3",183 932,30 marca 2016,6,682272,greyshh
141,Chemia,2015,"6,3",33 240,30 marca 2016,8,580746,greyshh
142,GoldenEye,1995,"7,1",81 228,27 marca 2016,8,799,greyshh
143,Grease,1978,"7,4",104 774,24 marca 2016,8,5933,greyshh
144,"Dzień dobry, kocham cię!",2014,"4,9",49 130,23 marca 2016,5,720511,greyshh
145,Zabiłem moją matkę,2009,"7,4",40 414,16 marca 2016,8,512873,greyshh
