,movie_id,movie_rating_avg,movie_rating_no,movie_title,movie_year,user_rating,user_rated_date,user_name,user_page
134,1119,7.3,5190.0,Wszystko na sprzedaż,1968,0,2018-06-09,greyshh,1
135,772805,5.9,31936.0,Atak paniki,2017,7,2018-06-08,greyshh,1
136,615202,7.3,175937.0,Kapitan Ameryka: Zimowy Żołnierz,2014,6,2020-04-24,piotrek_cyran,1
137,622564,7.0,179665.0,Thor: Mroczny świat,2013,6,2020-04-24,piotrek_cyran,1
138,491715,7.4,228292.0,Iron Man 3,2013,5,2020-04-24,piotrek_cyran,1
139,619729,7.6,18835.0,Drżące trąby,2010,9,2017-09-02,greenzuz,1
140,723658,6.3,111402.0,Co ty wiesz o swoim dziadku?,2016,5,2017-08-13,greenzuz,1
141,798143,8.1,116534.0,Parasite,2019,8,2020-02-20,AoiYuno,1
142,11797,7.9,2919.0,Wszystkie poranki świata,1991,5,2019-12-21,AoiYuno,1
143,736411,7.1,164976.0,Baby Driver,2017,7,2020-04-16,Dr_Marvel,1
144,558175,6.7,156221.0,Pasażerowie,2016,7,2020-04-16,Dr_Marvel,1
145,696433,6.9,158979.0,Iluzja 2,2016,8,2020-04-16,Dr_Marvel,1
146,816979,7.8,78806.0,Na noże,2019,8,2020-03-05,nelii_113,1
147,798143,8.1,116534.0,Parasite,2019,9,2020-03-05,nelii_113,1
148,106958,6.8,26752.0,Dowód,2005,8,2019-11-18,nelii_113,1
149,762864,6.7,80974.0,Lady Bird,2017,6,2020-01-23,escoutiq,1
150,837101,6.4,10728.0,Mayday,2020,9,2020-01-14,escoutiq,1
151,837378,7.8,101.0,I Am Easy to Find,2019,5,2020-04-23,Kamilmac,1
152,726013,6.3,8599.0,"Człowiek, który zabił Don Kichota",2018,0,2020-04-18,kasiarosa68,1
153,842452,4.0,68024.0,365 dni,2020,6,2020-02-10,wiktoriakira,1
154,792989,6.7,28284.0,Nieoszlifowane diamenty,2019,9,2020-02-09,Ireri,1
155,817417,7.8,62487.0,Jojo Rabbit,2019,5,2020-02-09,Ireri,1
156,705791,7.9,42700.0,Le Mans '66,2019,7,2020-02-05,Ireri,1
157,464256,8.2,553043.0,Wyspa tajemnic,2010,9,2015-07-30,Andrew107,1
158,401089,7.7,341212.0,Uprowadzona,2008,6,2015-07-30,Andrew107,1
159,299113,7.4,760122.0,Avatar,2009,9,2015-07-30,Andrew107,1
160,163597,7.5,383348.0,300,2006,7,2015-07-30,Andrew107,1
161,504776,7.2,344076.0,Igrzyska śmierci,2012,7,2020-04-26,filiphancke,1
162,122541,7.6,356224.0,Iron Man,2008,7,2020-04-26,filiphancke,1
163,500891,8.3,581359.0,Incepcja,2010,9,2018-01-07,alexandras1997,1
164,1089,8.6,515421.0,Ojciec chrzestny,1972,9,2018-01-07,alexandras1997,1
165,734,7.7,192501.0,Łowca androidów,1982,8,2018-02-24,Koscik97,1
166,630798,7.5,144055.0,Blade Runner 2049,2017,8,2018-02-24,Koscik97,1
167,34656,7.9,56202.0,Mój sąsiad Totoro,1988,0,2020-02-27,Bathorzak,1
168,792989,6.7,28284.0,Nieoszlifowane diamenty,2019,0,2020-02-19,Bathorzak,1
169,807201,7.1,677.0,Pokolenie pieniądza,2018,7,2018-05-17,greyshh,1
170,798016,6.7,1804.0,Czyściciele internetu,2018,6,2018-05-13,greyshh,1
171,371515,7.5,307144.0,Avengers,2012,8,2020-04-24,piotrek_cyran,1
172,219796,6.7,174122.0,Captain America: Pierwsze starcie,2011,6,2020-04-24,piotrek_cyran,1
173,325418,6.9,221873.0,Thor,2011,6,2020-04-24,piotrek_cyran,1
174,763134,7.6,57369.0,Ukryte działania,2016,8,2017-08-12,greenzuz,1
175,722146,7.6,149465.0,Strażnicy Galaktyki vol. 2,2017,7,2017-08-09,greenzuz,1
176,453958,6.6,91521.0,Kobiety pragną bardziej,2009,7,2017-07-30,greenzuz,1
177,728595,7.2,8560.0,Citizenfour,2014,8,2019-12-05,AoiYuno,1
178,759290,7.4,15371.0,"Ja, Daniel Blake",2016,8,2019-11-20,AoiYuno,1
179,525892,5.3,179760.0,Galerianki,2009,8,2019-11-19,AoiYuno,1
180,375547,6.6,229388.0,Mamma Mia!,2008,8,2020-04-16,Dr_Marvel,1
181,482376,7.3,178332.0,Doktor Strange,2016,9,2020-04-16,Dr_Marvel,1
182,8790,7.3,229759.0,Poranek kojota,2001,8,2020-04-16,Dr_Marvel,1
183,538720,6.9,101825.0,Last Vegas,2013,5,2019-11-18,nelii_113,1
184,830296,6.3,12790.0,Last Christmas,2019,4,2019-11-18,nelii_113,1
185,105575,7.4,220326.0,Kill Bill 2,2004,8,2019-11-18,nelii_113,1
186,7846,7.3,13392.0,Morderstwo w Orient Expressie,1974,7,2019-11-18,nelii_113,1
187,836600,7.3,92393.0,Dwóch papieży,2019,8,2020-01-14,escoutiq,1
188,826116,6.4,8025.0,Pan T.,2019,5,2020-01-08,escoutiq,1
189,6916,6.6,98061.0,Książę w Nowym Jorku,1988,7,2019-12-25,escoutiq,1
190,545488,7.3,45372.0,Debiutanci,2010,9,2020-04-18,Kamilmac,1
191,818090,7.4,89032.0,Historia małżeńska,2019,7,2020-04-18,Kamilmac,1
192,744778,7.2,9168.0,Kobiety i XX wiek,2016,9,2020-04-12,Kamilmac,1
193,759639,7.0,42919.0,Paterson,2016,7,2020-04-17,kasiarosa68,1
194,624525,7.9,144987.0,Koneser,2013,8,2020-04-10,kasiarosa68,1
195,816979,7.8,78806.0,Na noże,2019,7,2020-04-05,kasiarosa68,1
196,810167,8.4,221672.0,Joker,2019,10,2020-01-10,wiktoriakira,1
197,816980,7.7,54971.0,1917,2019,4,2020-02-05,Ireri,1
198,793838,6.2,42497.0,To: Rozdział 2,2019,1,2020-02-03,Ireri,1
199,108931,6.7,410140.0,Mr. & Mrs. Smith,2005,8,2015-07-30,Andrew107,1
200,40252,7.8,494218.0,Efekt motyla,2004,8,2015-07-30,Andrew107,1
201,37311,7.4,331694.0,Troja,2004,8,2015-07-30,Andrew107,1
202,107535,7.5,383084.0,Madagaskar,2005,7,2020-04-26,filiphancke,1
203,121760,7.7,375494.0,Piraci z Karaibów: Na krańcu świata,2007,7,2020-04-26,filiphancke,1
204,623761,7.4,322807.0,Iluzja,2013,8,2018-01-07,alexandras1997,1
205,722146,7.6,149465.0,Strażnicy Galaktyki vol. 2,2017,8,2018-01-07,alexandras1997,1
206,1020,7.8,394351.0,Lśnienie,1980,8,2018-01-26,Koscik97,1
207,671049,6.9,135139.0,Gwiezdne wojny: Ostatni Jedi,2017,8,2017-12-15,Koscik97,1
208,779975,6.1,20448.0,Plan B,2018,0,2020-02-19,Bathorzak,1
209,795665,6.2,27890.0,Juliusz,2018,0,2020-02-18,Bathorzak,1
210,736411,7.1,164976.0,Baby Driver,2017,5,2018-04-22,greyshh,1
211,897,8.0,38074.0,Przypadek,1981,8,2018-04-22,greyshh,1
212,144837,6.7,5600.0,Smak życia 2,2005,7,2018-04-14,greyshh,1
213,261650,6.4,111433.0,Incredible Hulk,2008,5,2020-04-24,piotrek_cyran,1
